"filename", "language", "HTML", "JavaScript", "JSON", "Properties", "vue", "Markdown", "comment", "blank", "total"
"c:\Users\Student\Workspace\PairProjects\Capstone 3\capstone-team-3\vue\.env", "Properties", 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\Student\Workspace\PairProjects\Capstone 3\capstone-team-3\vue\.eslintrc.js", "JavaScript", 0, 28, 0, 0, 0, 0, 1, 1, 30
"c:\Users\Student\Workspace\PairProjects\Capstone 3\capstone-team-3\vue\README.md", "Markdown", 0, 0, 0, 0, 0, 243, 0, 3, 246
"c:\Users\Student\Workspace\PairProjects\Capstone 3\capstone-team-3\vue\index.html", "HTML", 17, 0, 0, 0, 0, 0, 1, 1, 19
"c:\Users\Student\Workspace\PairProjects\Capstone 3\capstone-team-3\vue\package-lock.json", "JSON", 0, 0, 5097, 0, 0, 0, 0, 1, 5098
"c:\Users\Student\Workspace\PairProjects\Capstone 3\capstone-team-3\vue\package.json", "JSON", 0, 0, 27, 0, 0, 0, 0, 1, 28
"c:\Users\Student\Workspace\PairProjects\Capstone 3\capstone-team-3\vue\src\App.vue", "vue", 0, 0, 0, 0, 59, 0, 0, 4, 63
"c:\Users\Student\Workspace\PairProjects\Capstone 3\capstone-team-3\vue\src\components\APIService.vue", "vue", 0, 0, 0, 0, 40, 0, 0, 3, 43
"c:\Users\Student\Workspace\PairProjects\Capstone 3\capstone-team-3\vue\src\components\CharacterList.vue", "vue", 0, 0, 0, 0, 60, 0, 0, 6, 66
"c:\Users\Student\Workspace\PairProjects\Capstone 3\capstone-team-3\vue\src\components\CommentMessageDetails.vue", "vue", 0, 0, 0, 0, 86, 0, 0, 2, 88
"c:\Users\Student\Workspace\PairProjects\Capstone 3\capstone-team-3\vue\src\components\CommentMessageForm.vue", "vue", 0, 0, 0, 0, 107, 0, 0, 6, 113
"c:\Users\Student\Workspace\PairProjects\Capstone 3\capstone-team-3\vue\src\components\CommentMessageSummary.vue", "vue", 0, 0, 0, 0, 38, 0, 0, 3, 41
"c:\Users\Student\Workspace\PairProjects\Capstone 3\capstone-team-3\vue\src\components\CommentTopicDetails.vue", "vue", 0, 0, 0, 0, 85, 0, 0, 3, 88
"c:\Users\Student\Workspace\PairProjects\Capstone 3\capstone-team-3\vue\src\components\CommentTopicForm.vue", "vue", 0, 0, 0, 0, 126, 0, 0, 5, 131
"c:\Users\Student\Workspace\PairProjects\Capstone 3\capstone-team-3\vue\src\components\CommentTopicList.vue", "vue", 0, 0, 0, 0, 37, 0, 0, 2, 39
"c:\Users\Student\Workspace\PairProjects\Capstone 3\capstone-team-3\vue\src\components\GetParty.vue", "vue", 0, 0, 0, 0, 51, 0, 0, 7, 58
"c:\Users\Student\Workspace\PairProjects\Capstone 3\capstone-team-3\vue\src\components\GlobalLogoHeader.vue", "vue", 0, 0, 0, 0, 26, 0, 0, 1, 27
"c:\Users\Student\Workspace\PairProjects\Capstone 3\capstone-team-3\vue\src\components\MOTW.vue", "vue", 0, 0, 0, 0, 101, 0, 0, 3, 104
"c:\Users\Student\Workspace\PairProjects\Capstone 3\capstone-team-3\vue\src\components\NavBar.vue", "vue", 0, 0, 0, 0, 48, 0, 0, 5, 53
"c:\Users\Student\Workspace\PairProjects\Capstone 3\capstone-team-3\vue\src\components\Profile.vue", "vue", 0, 0, 0, 0, 215, 0, 0, 13, 228
"c:\Users\Student\Workspace\PairProjects\Capstone 3\capstone-team-3\vue\src\components\Vote.vue", "vue", 0, 0, 0, 0, 17, 0, 0, 16, 33
"c:\Users\Student\Workspace\PairProjects\Capstone 3\capstone-team-3\vue\src\components\Welcome.vue", "vue", 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\Student\Workspace\PairProjects\Capstone 3\capstone-team-3\vue\src\main.js", "JavaScript", 0, 16, 0, 0, 0, 0, 9, 6, 31
"c:\Users\Student\Workspace\PairProjects\Capstone 3\capstone-team-3\vue\src\router\index.js", "JavaScript", 0, 145, 0, 0, 0, 0, 6, 10, 161
"c:\Users\Student\Workspace\PairProjects\Capstone 3\capstone-team-3\vue\src\services\AuthService.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 5, 14
"c:\Users\Student\Workspace\PairProjects\Capstone 3\capstone-team-3\vue\src\services\MessageService.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 8, 26
"c:\Users\Student\Workspace\PairProjects\Capstone 3\capstone-team-3\vue\src\services\TopicService.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 8, 29
"c:\Users\Student\Workspace\PairProjects\Capstone 3\capstone-team-3\vue\src\store\index.js", "JavaScript", 0, 56, 0, 0, 0, 0, 5, 6, 67
